Rank,Name,Symbol,Price,Volume_24h,Market_Cap,Circulating_Supply,Total_Supply,Max_Supply,Percent_Change_1h,Percent_Change_24h,Percent_Change_7d,Date_Added,Capture_Date
108,TagCoin,TAG,0.06159615,863.14428711,288729.77864746,4687464.588148,4687464.588148,,0.0,-3.59043,5.09173,2013-11-05T00:00:00.000Z,2024-09-23
109,BitShares PTS,PTS,0.00028266,538.62329102,282656.89723246,999999386.0,999999386.0,,0.823227,-6.02615,92.1241,2013-11-21T00:00:00.000Z,2024-09-23
110,Gambit,GAM,0.17419563,2352.64306641,281033.26545137,1613319.81564968,1613319.81564968,,-0.824648,5.71131,76.3151,2015-05-22T00:00:00.000Z,2024-09-23
111,Cryptonite,XCN,0.00131402,11458.95703125,269805.35772317,205328612.941547,205328612.941547,,-0.841934,-13.6445,56.9911,2014-08-02T00:00:00.000Z,2024-09-23
112,TrumpCoin,TRUMP,0.03768885,54322.17578125,245050.73048646,6501942.1305383,6501942.1305383,18000000.0,-14.6751,-46.4772,22.1592,2016-03-01T00:00:00.000Z,2024-09-23
113,CrevaCoin,CREVA,0.00838244,8829.60742188,228799.00668617,27295050.0,6231295100.0,,-0.182332,3.09298,-24.7785,2015-07-07T00:00:00.000Z,2024-09-23
114,Myriad,XMY,0.00016384,9001.38378906,219593.89949433,1340290995.52781,1340290995.52781,2000000000.0,8.31187,-8.08385,120.637,2014-03-08T00:00:00.000Z,2024-09-23
115,XCurrency,XC,0.03705468,635.25964355,210650.97339571,5684868.19369079,5684868.19369079,,-0.824644,-3.61972,0.555764,2014-05-23T00:00:00.000Z,2024-09-23
116,Shift,SHIFT,0.02642601,1803.76550293,203136.92257459,7687007.0,7687007.0,,-1.09306,-13.947,-14.6464,2015-09-05T00:00:00.000Z,2024-09-23
117,SIBCoin,SIB,0.01801465,578.38793945,193941.37377524,10765761.5001341,10765761.5001341,29000000.0,-0.602449,-4.07962,-16.7743,2015-09-25T00:00:00.000Z,2024-09-23
118,Maxcoin,MAX,0.00435444,933.69116211,180532.70523085,41459435.0,41459435.0,100000000.0,-0.0665056,-2.16079,-7.32096,2014-02-12T00:00:00.000Z,2024-09-23
119,Donu,DONU,0.02106884,5687.02148438,179198.38872054,8505375.43573485,8505375.43573485,,-0.440144,0.128421,24.1911,2014-08-26T00:00:00.000Z,2024-09-23
120,ArtByte,ABY,0.00024848,3232.48828125,168324.56600858,677418450.0,677418450.0,,-0.85349,-14.2051,28.9551,2014-06-12T00:00:00.000Z,2024-09-23
121,SaluS,SLS,0.15870865,2051.32836914,158899.2542468,1001200.9890893,1001200.9890893,,-0.937592,-9.79195,0.730473,2016-01-22T00:00:00.000Z,2024-09-23
122,Einsteinium,EMC2,0.00077585,54615.20703125,155253.73078303,200107013.170197,200107013.170197,,4.00369,49.1207,158.766,2014-04-09T00:00:00.000Z,2024-09-23
123,Aeon,AEON,0.01314684,517.92736816,155056.2320654,11794182.605235,11794182.605235,,-0.850808,49.2761,123.16,2015-08-04T00:00:00.000Z,2024-09-23
124,NetCoin,NET,0.00024988,524.02618408,154273.01729274,617377660.045331,617377660.045331,,-0.822072,-25.566,71.6205,2013-12-17T00:00:00.000Z,2024-09-23
125,Capricoin,CPC,0.24410148,3970.62719727,148747.18314592,609366.167544246,200609366.167544,205000000.0,1.79491,3.20684,-9.87144,2015-07-23T00:00:00.000Z,2024-09-23
126,Piggycoin,PIGGY,0.00030861,2219.62426758,148259.21549327,480403188.882424,480403188.882424,,-4.86562,-2.23936,151.147,2014-06-15T00:00:00.000Z,2024-09-23
127,bitCNY,BITCNY,0.15266444,6271.20214844,146414.2031384,959059.0,959059.0,,1.45898,2.26573,2.91313,2014-09-23T00:00:00.000Z,2024-09-23
128,OKCash,OK,0.0021761,850.79095459,142470.36583061,65470451.2457268,65470451.2457268,105000000.0,-0.853601,-13.8415,97.9041,2014-12-14T00:00:00.000Z,2024-09-23
129,MAZA,MAZA,0.00013804,4831.86621094,137471.5795561,995918065.378056,995918065.378056,,-1.51924,1.94127,27.9265,2014-02-27T00:00:00.000Z,2024-09-23
130,MediterraneanCoin,MED,0.00322098,1015.49188232,130230.16407807,40431896.9,40431896.9,,-0.824646,-16.4945,34.9028,2014-10-22T00:00:00.000Z,2024-09-23
131,HyperStake,HYP,0.0003154,7394.18115234,121681.31865886,385796096.914179,385796096.914179,,-4.6963,-11.3488,124.923,2014-08-09T00:00:00.000Z,2024-09-23
132,Pinkcoin,PINK,0.0003295,23964.921875,120174.57930608,364718632.458631,364718632.458631,500000000.0,-7.25354,-4.26673,53.6038,2014-05-11T00:00:00.000Z,2024-09-23
133,NobleCoin,NOBL,5.259e-05,740.60778809,119504.02392719,2272485776.71783,2272485776.71783,,-0.850811,-6.26934,24.2947,2014-02-08T00:00:00.000Z,2024-09-23
134,Horizon,HZ,0.00011832,2112.63208008,118000.41908338,997285886.33936,1000000000.0,,-0.82465,-13.0136,31.549,2014-07-14T00:00:00.000Z,2024-09-23
135,Sync,SYNC,95.28779602,2195.96826172,112145.90791507,1176.91784886,1176.91784886,,-0.850812,37.651,115.173,2014-05-21T00:00:00.000Z,2024-09-23
136,Sprouts,SPRTS,2.62e-05,1754.3963623,109991.06032731,4197643731.04393,4197643731.04393,,-0.824511,47.9459,97.6525,2015-07-21T00:00:00.000Z,2024-09-23
137,HiCoin,XHI,0.00922131,32356.74804688,107523.50150718,11660332.0422764,10011660332.0423,,-17.0648,-22.2681,9.41861,2016-05-04T00:00:00.000Z,2024-09-23
