Ranking,Name,Token,Price,One_Hour_Percentage,TwentyFour_Hour_Percentage,Seven_Days_Percentage,Market_Cap,Volume_24h,Circulating_Supply,Total_Supply,Max_Supply,Class,Halving_1_RankIndex,Halving_1_Plus250_RankIndex,Halving_2_RankIndex,Halving_2_Plus250_RankIndex,Halving_3_RankIndex,Halving_3_Plus250_RankIndex,Halving_4_RankIndex,Capture_Date,halving_survive
1018,GameGPT,DUEL,$0.003609,0.92%,9.05%,23.81%,"$10,664,993","$1,284,148
355,776,545 DUEL","2,954,764,892 DUEL",9979000000.0,10000000000.0,0,,,,,,,804.0,2024-09-23,0
1040,Matrix AI Network,MAN,$0.02184,0.18%,5.83%,20.53%,"$9,839,837","$478,747
21,920,235 MAN","450,533,123 MAN",750576068.4037756,1000000000.0,0,,,,,430.0,1066.0,963.0,2024-09-23,1
1059,DexCheck AI,DCK,$0.02692,0.11%,8.47%,10.82%,"$9,137,627","$1,291,900
47,988,335 DCK","339,422,186 DCK",961420925.0268868,,0,,,,,,,824.0,2024-09-23,0
1068,Big Data Protocol,BDP,$0.1715,1.82%,2.45%,56.97%,"$8,968,378","$127,563
743,599 BDP","52,278,856 BDP",64923252.85185185,80000000.0,0,,,,,,,1049.0,2024-09-23,0
1088,Step App,FITFI,$0.003304,0.82%,2.08%,15.46%,"$8,358,465","$2,517,428
761,992,996 FITFI","2,530,000,000 FITFI",4600000000.0,5000000000.0,0,,,,,,,868.0,2024-09-23,0
1090,Nuco.cloud,NCDT,$0.2508,0.61%,20.25%,34.63%,"$8,297,762","$297,224
1,185,326 NCDT","33,091,343 NCDT",50000000.0,50000000.0,0,,,,,,1059.0,728.0,2024-09-23,1
1121,bitsCrunch,BCUT,$0.02827,0.23%,0.80%,21.27%,"$7,734,870","$671,184
23,745,231 BCUT","273,645,090 BCUT",1000000000.0,,0,,,,,,,2927.0,2024-09-23,0
1148,TRVL,TRVL,$0.02188,0.09%,0.65%,2.90%,"$7,246,002","$204,214
9,335,346 TRVL","331,240,882 TRVL",1000000000.0,1000000000.0,0,,,,,,,831.0,2024-09-23,0
1150,Ta-da,TADA,$0.0316,0.18%,2.22%,0.30%,"$7,220,326","$128,543
4,067,711 TADA","228,485,283 TADA",1000000000.0,1000000000.0,0,,,,,,,3254.0,2024-09-23,0
1160,AIPAD,AIPAD,$0.06141,0.52%,0.59%,26.29%,"$6,995,393","$492,135
8,014,294 AIPAD","113,918,167 AIPAD",199049334.2921128,200000000.0,0,,,,,,,990.0,2024-09-23,0
1161,Phantasma,SOUL,$0.05599,0.02%,1.11%,3.48%,"$6,950,484","$442,069
7,894,948 SOUL","124,129,198 SOUL",124129197.66163056,,0,,,,,479.0,820.0,883.0,2024-09-23,1
1162,Synesis One,SNS,$0.01522,1.55%,66.74%,47.86%,"$6,942,708","$1,042,906
68,536,487 SNS","456,252,758 SNS",999996689.0,,0,,,,,,,734.0,2024-09-23,0
1178,PIBBLE,PIB,$0.0003001,0.01%,1.51%,0.04%,"$6,572,697","$778,464
2,593,875,044 PIB","21,900,500,893 PIB",29696500892.67001,30000000000.0,0,,,,,1036.0,959.0,1040.0,2024-09-23,1
1198,Robonomics.network,XRT,$3.71,0.45%,14.29%,65.21%,"$6,199,694","$49,638
13,372 XRT","1,670,176 XRT",1915498.09331752,,0,,,,,,470.0,1062.0,2024-09-23,1
1213,Optimus AI,OPTI,$0.06368,0.72%,3.44%,18.02%,"$6,052,232","$55,889
877,590 OPTI","95,034,939 OPTI",100000000.0,,0,,,,,,,821.0,2024-09-23,0
1215,Netvrk,NETVR,$0.06747,0.13%,0.61%,11.33%,"$5,987,923","$372,807
5,525,863 NETVR","88,754,833 NETVR",100000000.0,,0,,,,,,,1226.0,2024-09-23,0
1229,Swash,SWASH,$0.005825,0.12%,0.17%,4.98%,"$5,770,357","$35,206
6,043,927 SWASH","990,618,673 SWASH",995582309.239138,995675233.83695,0,,,,,,,935.0,2024-09-23,0
1247,imgnAI,IMGNAI,$0.007131,0.65%,56.48%,34.68%,"$5,539,521","$1,231,592
172,711,983 IMGNAI","776,833,333 IMGNAI",1000000000.0,1000000000.0,0,,,,,,,,2024-09-23,0
